symbol,ensembl_id
(P)RR,ENSG00000182220
1-8D,ENSG00000185201
1-8U,ENSG00000142089
1-CYS,ENSG00000117592
10-FTHF,ENSG00000144908
101F10.1,ENSG00000103550
101F6,ENSG00000114395
103AS,ENSG00000189013
10C,ENSG00000123329
11B6,ENSG00000102316
12-HETER,ENSG00000120436
123F2,ENSG00000068028
12CC4,ENSG00000114861
12R-LOX,ENSG00000179477
12S-LOX,ENSG00000108839
133K02,ENSG00000055147
13CDNA73,ENSG00000073910
14-3-3,ENSG00000134308
14-3-3-ZETA,ENSG00000164924
14-3-3GAMMA,ENSG00000170027
14-3-3Γ,ENSG00000170027
14.1,ENSG00000128322
15-LOX-1,ENSG00000161905
15-LOX-2,ENSG00000179593
15.212,ENSG00000189013
15.5K,ENSG00000100138
156DAG,ENSG00000173402
15E1.2,ENSG00000257218
16.3A5,ENSG00000085063
16A,ENSG00000071553
16E1BP,ENSG00000071539
17-1A,ENSG00000119888
17-BETA-HSD11,ENSG00000198189
17-BETA-HSDXI,ENSG00000198189
1700010H15RIK,ENSG00000119661
170A,ENSG00000204351
17B-HSD10,ENSG00000072506
182-FIP,ENSG00000108256
18A2,ENSG00000196154
19A,ENSG00000026751
1A1-3B,ENSG00000188554
1A6/DRIM,ENSG00000120800
1C7,ENSG00000204475
1D,ENSG00000163431
1R20,ENSG00000090104
2'-PDE,ENSG00000174840
2-19,ENSG00000071889
2-21,ENSG00000183844
2-COP,ENSG00000158623
2-HPCL,ENSG00000131373
20D7-FC4,ENSG00000177051
21-GARP,ENSG00000185437
225,ENSG00000120738
2310005P21RIK,ENSG00000082196
2310047H23RIK,ENSG00000113621
239AB,ENSG00000186732
239FB,ENSG00000066382
24B2,ENSG00000141750
24P3,ENSG00000148346
2610509L04RIK,ENSG00000184708
26RFA,ENSG00000188710
2700066J21RIK,ENSG00000253797
2A9,ENSG00000197956
2B28,ENSG00000162191
2B4,ENSG00000122223
2C18,ENSG00000138660
2C4D,ENSG00000115540
2E4,ENSG00000118162
2F1,ENSG00000005022
2H9,ENSG00000096746
2HOR0202,ENSG00000150459
2OST,ENSG00000111962
2P1,ENSG00000178057
2PP2A,ENSG00000119335
3'HEXO,ENSG00000104626
3'OY11.1,ENSG00000169548
3-10C,ENSG00000169429
3-ALPHA-HSD,ENSG00000198610
3-HAO,ENSG00000162882
3-OST-5,ENSG00000162040
3-PAP,ENSG00000150712
30K,ENSG00000126247
30ST3A1,ENSG00000153976
30ST3B1,ENSG00000125430
323/A3,ENSG00000119888
3635,ENSG00000174840
37LRP,ENSG00000168028
384D8-2,ENSG00000025770
39K2,ENSG00000040341
3ALPHA-HSD,ENSG00000073737
3D3,ENSG00000147649
3G2,ENSG00000004534
3H11AG,ENSG00000198707
3M3,ENSG00000169515
3OST1,ENSG00000002587
3OST2,ENSG00000122254
3OST3A1,ENSG00000153976
3OST3B1,ENSG00000125430
3OST4,ENSG00000182601
3PAP,ENSG00000150712
3PK,ENSG00000114738
4-1BB,ENSG00000049249
