input_col	mapped_ensembl	method
CLEC3A	ENSG00000166509	symbol
HOXB13	ENSG00000159184	symbol
S100A7	ENSG00000143556	symbol
SERPINA6	ENSG00000170099	symbol
VSTM2A	ENSG00000170419	symbol
CST9	ENSG00000173335	symbol
UGT2B11	ENSG00000213759	symbol
KCNJ3	ENSG00000162989	symbol
KCNC2	ENSG00000166006	symbol
ANKRD30A	ENSG00000148513	symbol
SLC5A8	ENSG00000256870	symbol
NBPF6	ENSG00000186086	symbol
CGA	ENSG00000135346	symbol
CST5	ENSG00000170367	symbol
ASCL1	ENSG00000139352	symbol
GSTM1	ENSG00000134184	symbol
NXPH1	ENSG00000122584	symbol
PPAN-P2RY11	ENSG00000243207	symbol
DCD	ENSG00000161634	symbol
CASP14	ENSG00000105141	symbol
OBP2B	ENSG00000171102	symbol
ABCC13	ENSG00000243064	symbol
FABP7	ENSG00000164434	symbol
LRRC31	ENSG00000114248	symbol
MAGEA6	ENSG00000197172	symbol
SPDYC	ENSG00000204710	symbol
GRIA2	ENSG00000120251	symbol
KLK11	ENSG00000167757	symbol
CPB1	ENSG00000153002	symbol
PYDC1	ENSG00000169900	symbol
PRAME	ENSG00000185686	symbol
CYP4F8	ENSG00000186526	symbol
TBC1D3G	ENSG00000260287	symbol
S100A7A	ENSG00000184330	symbol
MAGEA3	ENSG00000221867	symbol
GLRA3	ENSG00000145451	symbol
CA9	ENSG00000107159	symbol
KIAA0408	ENSG00000189367	symbol
HMGCS2	ENSG00000134240	symbol
ORM2	ENSG00000228278	symbol
CDC20B	ENSG00000164287	symbol
TFF1	ENSG00000160182	symbol
GP2	ENSG00000169347	symbol
FGB	ENSG00000171564	symbol
PHGR1	ENSG00000233041	symbol
PAX7	ENSG00000009709	symbol
SLC30A8	ENSG00000164756	symbol
CYP2A6	ENSG00000255974	symbol
PLA2G3	ENSG00000100078	symbol
ARHGAP36	ENSG00000147256	symbol
VGLL1	ENSG00000102243	symbol
ORM1	ENSG00000229314	symbol
CIDEA	ENSG00000176194	symbol
HBA1	ENSG00000206172	symbol
PVALB	ENSG00000100362	symbol
GATA4	ENSG00000136574	symbol
WIF1	ENSG00000156076	symbol
ABCC12	ENSG00000140798	symbol
MUC2	ENSG00000198788	symbol
MUC6	ENSG00000184956	symbol
MYBPC1	ENSG00000196091	symbol
SCGB1D2	ENSG00000124935	symbol
SLC7A4	ENSG00000099960	symbol
NKX2-2	ENSG00000125820	symbol
SLC6A11	ENSG00000132164	symbol
NMU	ENSG00000109255	symbol
ACTL8	ENSG00000117148	symbol
ATP13A5	ENSG00000187527	symbol
SPINK8	ENSG00000229453	symbol
WDR72	ENSG00000166415	symbol
