input_symbol,reason_guess,fuzzy_close_matches,same_prefix_aliases
GSTT1,Not in id_map (possible alias / deprecated / non-protein-coding),GSTTP1;GTT1;GST1;STAT1;MGST1,GSTT2;GSTT2B;GSTT2P;GSTT4;GSTTLP28;GSTTP1
?|652919,Unknown placeholder / assembler tag,,
ABCC13,Not in id_map (possible alias / deprecated / non-protein-coding),ABCC3;ABCC1;ABCC12;ABCC11;ABCC10,ABCC1;ABCC10;ABCC11;ABCC12;ABCC2;ABCC3;ABCC4;ABCC5;ABCC6;ABCC7
NCRNA00052,Not in id_map (possible alias / deprecated / non-protein-coding),NCRNA00085;NCRNA00082;NCRNA00291;NCRNA00282;NCRNA00253,NCRNA00036;NCRNA00069;NCRNA00080;NCRNA00081;NCRNA00082;NCRNA00083;NCRNA00085;NCRNA00086;NCRNA00087;NCRNA00094
LOC100271831,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC100128977,Non-canonical / lncRNA / LOC symbol,LOC100129792;LOC100128569,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC389033,Non-canonical / lncRNA / LOC symbol,LOC389073,LOC338328;LOC339804;LOC341346;LOC342897;LOC345222;LOC345630;LOC374920;LOC374973;LOC387715;LOC387804
LOC150622,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC100130148,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
CXADRP3,Not in id_map (possible alias / deprecated / non-protein-coding),CXADR,CXADR
LOC284379,Non-canonical / lncRNA / LOC symbol,LOC284371,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
LOC645323,Non-canonical / lncRNA / LOC symbol,,LOC606495;LOC619208;LOC643338;LOC644994;LOC645811;LOC646174;LOC646892;LOC653319
C2ORF14,Not in id_map (possible alias / deprecated / non-protein-coding),C22ORF14;C21ORF14;C20ORF14;C12ORF14;C2ORF4,C2ORF1;C2ORF10;C2ORF11;C2ORF12;C2ORF13;C2ORF15;C2ORF16;C2ORF17;C2ORF18;C2ORF2
LOC728606,Non-canonical / lncRNA / LOC symbol,,LOC728008;LOC728591;LOC728621;LOC728858
CYP2B7P1,Not in id_map (possible alias / deprecated / non-protein-coding),CYP2D7P1;CYP2D7P;CYP27C1;CYP27B1;CYP27A1,CYP20A1;CYP21;CYP21A2;CYP21B;CYP24;CYP24A1;CYP26;CYP26A1;CYP26B1;CYP26C1
ALOX12P2,Not in id_map (possible alias / deprecated / non-protein-coding),ALOX12;ALOX12B,ALOX12;ALOX12B;ALOX15;ALOX15B;ALOX5;ALOX5AP;ALOXE3
LOC152225,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
TCAM1P,Not in id_map (possible alias / deprecated / non-protein-coding),TICAM1;TCAP;CAMP,
HOTAIR,Not in id_map (possible alias / deprecated / non-protein-coding),,
WIT1,Not in id_map (possible alias / deprecated / non-protein-coding),WT1;IT1;ZWINT1;WAIT-1;TWIST1,
LOC100124692,Non-canonical / lncRNA / LOC symbol,LOC100129792;LOC100128569,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
KGFLP1,Not in id_map (possible alias / deprecated / non-protein-coding),KLP1;GLP1,
CYP4Z2P,Not in id_map (possible alias / deprecated / non-protein-coding),,CYP46;CYP46A1;CYP4A11;CYP4A2;CYP4A20;CYP4A22;CYP4AH1;CYP4AII;CYP4B1;CYP4F
LOC647859,Non-canonical / lncRNA / LOC symbol,,LOC606495;LOC619208;LOC643338;LOC644994;LOC645811;LOC646174;LOC646892;LOC653319
LOC283392,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
NBPF22P,Not in id_map (possible alias / deprecated / non-protein-coding),,NBPF1;NBPF10;NBPF11;NBPF12;NBPF14;NBPF15;NBPF16;NBPF19;NBPF20;NBPF24
DPY19L2P4,Not in id_map (possible alias / deprecated / non-protein-coding),DPY19L4;DPY19L2,DPY19L1;DPY19L2;DPY19L3;DPY19L4
PART1,Not in id_map (possible alias / deprecated / non-protein-coding),PART17;PART16;PART15;PART14;PRT1,PART14;PART15;PART16;PART17;PART5;PART6;PART7;PART8
GUCY1B2,Not in id_map (possible alias / deprecated / non-protein-coding),GUCY1B3;GUCY1B1;GUCY1A2,GUCY1A1;GUCY1A2;GUCY1A3;GUCY1B1;GUCY1B3;GUCY2A;GUCY2B;GUCY2C;GUCY2D;GUCY2F
LOC153328,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
?|729884,Unknown placeholder / assembler tag,,
INE2,Not in id_map (possible alias / deprecated / non-protein-coding),MINER2,
C21ORF15,Not in id_map (possible alias / deprecated / non-protein-coding),C21ORF105;C2ORF15;C21ORF5;C21ORF1;C1ORF15,C21ORF1;C21ORF10;C21ORF101;C21ORF102;C21ORF103;C21ORF105;C21ORF106;C21ORF107;C21ORF108;C21ORF11
LOC339535,Non-canonical / lncRNA / LOC symbol,,LOC338328;LOC339804;LOC341346;LOC342897;LOC345222;LOC345630;LOC374920;LOC374973;LOC387715;LOC387804
VNN3,Not in id_map (possible alias / deprecated / non-protein-coding),,
TCL6,Not in id_map (possible alias / deprecated / non-protein-coding),TL6;TCL;TCEAL6,
C6ORF176,Not in id_map (possible alias / deprecated / non-protein-coding),C6ORF76;C6ORF17;C6ORF16;C6ORF197;C6ORF196,C6ORF1;C6ORF10;C6ORF102;C6ORF103;C6ORF104;C6ORF105;C6ORF106;C6ORF107;C6ORF108;C6ORF109
AQP7P1,Not in id_map (possible alias / deprecated / non-protein-coding),AQP7;AQP1,AQP7;AQP7B;AQP7L
C2ORF70,Not in id_map (possible alias / deprecated / non-protein-coding),C21ORF70;C20ORF70;C12ORF70;C2ORF7;C20ORF170,C2ORF1;C2ORF10;C2ORF11;C2ORF12;C2ORF13;C2ORF15;C2ORF16;C2ORF17;C2ORF18;C2ORF2
NCRNA00110,Not in id_map (possible alias / deprecated / non-protein-coding),NCRNA00116;NCRNA00341;NCRNA00291;NCRNA00220;NCRNA00201,NCRNA00036;NCRNA00069;NCRNA00080;NCRNA00081;NCRNA00082;NCRNA00083;NCRNA00085;NCRNA00086;NCRNA00087;NCRNA00094
LOC284578,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
DPY19L2P1,Not in id_map (possible alias / deprecated / non-protein-coding),DPY19L2;DPY19L1,DPY19L1;DPY19L2;DPY19L3;DPY19L4
UCA1,Not in id_map (possible alias / deprecated / non-protein-coding),LUCA1;GUCA1;FUCA1;CA1;LUCA15,
C9ORF122,Not in id_map (possible alias / deprecated / non-protein-coding),C9ORF12;C9ORF172;C9ORF152;C9ORF142;C9ORF128,C9ORF10;C9ORF100;C9ORF101;C9ORF102;C9ORF103;C9ORF105;C9ORF108;C9ORF10OS;C9ORF11;C9ORF111
